HGCZ_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
40904,466570,113775,03.05.19,06.06.19
42650,490488,145245,20.09.18,06.05.19
36089,466330,113689,18.04.19,06.06.19
30912,553531,151807,22.05.19,12.09.19
49311,480073,107145,30.08.18,07.06.19
48786,475297,78260,07.06.19,19.09.19
55638,475545,78173,07.06.19,19.09.19
59852,476784,107351,07.09.18,14.06.19
30936,615450,156425,17.06.19,04.10.19
30979,554552,151297,05.06.19,12.09.19
47239,553865,151795,05.06.19,12.09.19
53339,552101,151157,12.06.19,12.09.19
53215,554592,149293,12.06.19,03.07.19
47810,526904,120534,24.08.17,09.05.18
41883,455405,101526,26.06.19,23.09.19
68505,460959,98095,26.06.19,18.06.20
32296,596001,176369,01.07.19,13.09.19
73162,562785,171656,03.07.19,02.10.19
72326,450404,91939,18.07.19,07.06.21
30963,616960,155132,22.07.19,04.10.19
38778,615900,157305,29.07.19,04.10.19
57824,616363,156019,30.07.19,04.10.19
62368,615475,153647,30.07.19,04.10.19
58434,616483,155930,29.07.19,04.10.19
31083,501708,162498,23.07.19,11.08.20
59105,449644,89721,06.08.19,07.06.21
39947,430603,59096,12.08.19,13.09.19
30729,470311,111941,20.08.19,17.09.19
75864,449302,90444,20.08.19,07.06.21
47930,537975,95000,22.08.19,26.08.19
30902,501477,160978,05.09.19,11.08.20
49246,504535,163426,05.09.19,01.08.20
31472,504268,162463,05.09.19,11.08.20
31097,502276,161490,12.09.19,12.08.20
49591,439593,52073,18.09.19,04.06.20
31098,502288,161492,12.09.19,12.08.20
35868,438539,116601,18.09.19,28.04.20
58716,440354,117006,18.09.19,28.04.20
34865,436712,117037,18.09.19,28.04.20
62816,453313,97497,18.09.19,07.12.20
64832,455015,96132,23.09.19,19.06.20
76106,449529,89708,23.09.19,07.06.21
73421,500915,163730,25.09.19,12.08.20
58641,455012,98237,21.09.18,02.10.19
30355,440807,49644,02.10.19,03.06.20
45375,440728,49629,02.10.19,03.06.20
30345,439783,52106,03.10.19,04.06.20
34807,439765,116515,07.10.19,28.04.20
39657,439896,116121,07.10.19,28.04.20
76194,439487,114843,07.10.19,28.04.20
75470,438849,116215,08.10.19,28.04.20
35232,437684,116591,08.10.19,28.04.20
66996,516208,138537,10.10.19,04.05.20
69696,527555,139728,10.10.19,04.06.20
38129,530404,135942,23.09.19,17.08.20
38131,529289,140166,30.09.19,05.06.20
45623,513959,140480,17.10.19,01.06.20
31088,503131,164279,24.09.19,12.08.20
76102,553618,120924,20.09.19,20.08.20
55073,556384,120070,29.10.19,20.08.20
53376,445198,115342,16.03.20,24.08.20
31084,501740,162468,21.04.20,12.08.20
59669,430651,59568,14.05.20,18.06.20
67366,447226,92533,20.05.20,12.07.21
34810,444520,115252,26.05.20,24.08.20
34812,447290,116168,26.05.20,24.08.20
70971,474462,90514,29.05.20,12.05.21
59012,448731,89186,04.06.20,05.07.21
78146,449017,89237,09.06.20,05.07.21
72051,590898,156443,12.06.20,08.09.20
34766,448086,118038,22.06.20,24.08.20
50939,432356,88444,23.06.20,02.11.20
49873,565906,142266,24.06.20,03.09.20
78864,459847,99221,26.06.20,23.04.21
31676,592799,157392,06.07.20,08.09.20
44911,450136,96370,08.07.20,15.06.21
53750,446989,95253,09.07.20
45119,591723,153642,14.07.20,08.09.20
73307,448448,119823,15.07.20,24.08.20
61205,460900,99610,11.06.19,15.07.20
37332,562144,165206,16.07.20,01.09.20
74152,507745,128070,10.07.20,08.09.20
44453,475817,92224,23.07.20,12.05.21
78178,544515,99886,24.07.20,07.10.20
46963,554017,121047,18.05.20,20.08.20
70881,522349,127107,22.07.20,14.10.20
55095,451764,85377,31.07.20,24.05.21
73075,431297,87105,31.07.20,02.11.20
63993,451384,86139,03.08.20,24.05.21
30802,472949,91324,05.08.20,03.05.21
35525,431328,87820,05.08.20,02.11.20
35206,451119,86831,05.08.20,25.05.21
49689,472212,90503,10.08.20,12.05.21
78624,478215,88649,17.08.20,03.05.21
40462,475817,92169,18.08.20,03.05.21
30864,477761,88824,18.08.20,21.08.20
35522,433390,88772,21.08.20,04.11.20
40666,542668,99190,21.08.20,07.10.20
43256,445393,98089,22.09.20
49189,443785,91643,28.09.20,12.08.21
34400,522928,128796,24.09.20,08.10.20
79682,523088,125805,22.09.20,09.10.20
46601,443560,91519,30.09.20,13.08.21
71297,443682,92033,01.10.20,13.08.21
79712,520452,125381,29.09.20,13.11.20
62600,518316,112839,28.10.20,15.09.21
72051,590898,156443,23.11.20,02.06.21
40073,430906,101214,12.03.21,17.09.21
47489,444638,128583,09.03.21,14.07.21
70991,447808,126335,09.03.21,14.07.21
45883,558198,123339,04.04.21,14.06.21
80014,513406,133919,05.04.21,30.08.21
40112,545937,122974,28.04.21,10.06.21
36958,546486,122953,28.04.21,10.06.21
55251,475425,88979,23.07.20,12.05.21
49689,472212,90503,10.08.20,26.07.21
33177,479579,90393,12.05.21,27.05.21
32512,444704,97786,12.05.21
31878,444468,128005,13.05.21,15.07.21
76532,445589,130006,13.05.21,15.07.21
31879,444504,129665,13.05.21,15.07.21
37814,443892,91888,13.05.21,13.08.21
40916,592367,158570,17.05.21,11.08.21
41740,548958,146825,19.05.21
35203,451298,86348,09.06.20,24.05.21
35446,549276,146600,28.05.21
43047,548324,147245,28.05.21
78606,518241,112433,21.05.21,15.09.21
69174,518830,113204,20.05.21,15.09.21
34976,434685,99058,28.05.21
34975,433863,101344,28.05.21
34974,435028,99330,28.05.21
47499,430847,100593,01.06.21,17.09.21
34972,430853,100596,01.06.21,17.09.21
34993,431121,101324,01.06.21,17.09.21
34996,430666,100728,01.06.21,17.09.21
62328,450306,122153,27.05.21,16.07.21
73162,562785,171656,09.06.21
76594,518876,113326,15.04.21,15.09.21
79403,518135,113155,02.06.21,15.09.21
35964,517673,112867,02.06.21,16.09.21
71602,518113,113151,02.06.21,15.09.21
35961,517393,112079,11.06.21,16.09.21
47537,435521,98527,14.06.21
41879,435218,98507,14.06.21
45477,446024,98403,23.06.21
30853,479538,89055,10.08.20,23.06.21
36361,548603,146670,29.06.21
50703,471596,88089,30.06.21
48838,511810,131470,29.06.21,05.07.21
55427,511814,131501,29.06.21,27.08.21
60592,434425,100472,28.06.21
74317,564081,172552,07.07.21
34997,433761,103026,18.06.21
79310,445523,90749,28.07.20,14.07.21
30575,564267,172705,14.07.21
32584,435264,105606,20.07.21
38776,470797,87618,22.07.21
66834,546924,149559,04.08.21
30944,547420,149754,04.08.21
35453,547537,149648,04.08.21
56858,549301,150965,05.08.21
30816,469321,85501,16.08.21
62150,549568,149458,26.08.21
45833,548322,153455,07.09.21
42575,436550,104797,07.09.21
35009,438336,105014,03.09.21
58816,478580,101258,09.09.21
62053,477007,98828,09.09.21
32216,478226,100980,10.09.21
66179,478807,101545,13.09.21
68735,539960,130136,10.09.21
72550,583200,164477,09.09.21
43213,548986,152511,14.09.21
45851,548016,152813,14.09.21
79762,534753,120193,09.09.21
35388,476522,95964,24.09.21
